Top Level Domain,Count
com,7158
org,448
edu,270
net,162
jp,156
uk,155
ai,104
kr,103
in,97
au,84
co,68
de,65
br,49
fr,48
ca,46
vn,43
it,41
eu,35
nl,33
gov,31
pl,29
cn,26
es,24
io,24
news,23
tw,23
mx,20
id,18
ch,17
ua,16
za,14
press,14
tv,14
global,12
gr,12
cz,11
no,11
se,10
nz,9
pk,9
media,9
ie,9
info,9
ru,8
network,8
pt,8
at,7
mil,6
be,6
us,6
today,6
th,6
ng,6
bn,5
pe,5
my,5
sk,5
fi,5
ke,5
biz,4
cl,4
hr,4
il,4
sg,4
ro,4
africa,4
healthcare,3
hu,3
guru,3
tr,3
hk,3
ar,3
rs,3
ph,3
fj,3
tech,2
ae,2
lu,2
cc,2
fyi,2
lv,2
review,2
na,2
bg,2
zw,2
ly,2
cat,2
int,2
world,2
digital,1
pro,1
dk,1
is,1
asia,1
st,1
uy,1
cymru,1
si,1
eus,1
bo,1
capetown,1
ee,1
do,1
works,1
aero,1
ventures,1
im,1
so,1
tn,1
hamburg,1
sa,1
ug,1
zone,1
