title,link,date,source,country,language,translated_title,number_of_characters_title,number_of_words_title,day_of_week,month,year,quarter,is_weekend,is_holiday,source_type,final_redirected_URL,domain_of_URL,subdomain_of_URL,URL_depth,top_level_domain,url_length,author,polarity1,subjectivity,compound,vader_sentiment,summary
AI from AI: a Future of Generic and Biased Online Content? - UCLA,https://news.google.com/rss/articles/CBMiWmh0dHBzOi8vYW5kZXJzb24tcmV2aWV3LnVjbGEuZWR1L2FpLWZyb20tYWktYS1mdXR1cmUtb2YtZ2VuZXJpYy1hbmQtYmlhc2VkLW9ubGluZS1jb250ZW50L9IBAA?oc=5,2023-11-08,UCLA,US,en,ai from ai a future of generic and biased online content  ucla,53,13,Wednesday,11,2023,4,False,False,Academic Journal,https://anderson-review.ucla.edu/ai-from-ai-a-future-of-generic-and-biased-online-content/,anderson-review.ucla.edu,anderson-review,2,edu,90,[],0.0,0.0625,-0.2732,negative,"Generative AI often seems incapable of producing exactly what users want it to produce. The dumbing down of AI-generated content is of growing concern to researchers. As generative AI systems increasingly derive their knowledge from scraping the web, some predict that increasingly they will be copying earlier AI."
Google is launching generative AI search in 100 additional countries as AI wars continue - Yahoo Finance,https://news.google.com/rss/articles/CBMihgFodHRwczovL2ZpbmFuY2UueWFob28uY29tL25ld3MvZ29vZ2xlLWlzLWxhdW5jaGluZy1nZW5lcmF0aXZlLWFpLXNlYXJjaC1pbi0xMDAtYWRkaXRpb25hbC1jb3VudHJpZXMtYXMtYWktd2Fycy1jb250aW51ZS0xODAxMzYxMTAuaHRtbNIBjgFodHRwczovL2ZpbmFuY2UueWFob28uY29tL2FtcGh0bWwvbmV3cy9nb29nbGUtaXMtbGF1bmNoaW5nLWdlbmVyYXRpdmUtYWktc2VhcmNoLWluLTEwMC1hZGRpdGlvbmFsLWNvdW50cmllcy1hcy1haS13YXJzLWNvbnRpbnVlLTE4MDEzNjExMC5odG1s?oc=5,2023-11-08,Yahoo Finance,US,en,google is launching generative ai search in  additional countries as ai wars continue  yahoo finance,88,17,Wednesday,11,2023,4,False,False,News Outlet,https://finance.yahoo.com/news/google-is-launching-generative-ai-search-in-100-additional-countries-as-ai-wars-continue-180136110.html,finance.yahoo.com,finance,2,com,134,[],0.0,0.0,-0.5574,negative,0
Sutro introduces AI-powered app creation with no coding required - Yahoo Finance,https://news.google.com/rss/articles/CBMiTWh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9zdXRyby1pbnRyb2R1Y2VzLWFpLXBvd2VyZWQtYXBwLTE3MDA1OTkwMC5odG1s0gFVaHR0cHM6Ly9maW5hbmNlLnlhaG9vLmNvbS9hbXBodG1sL25ld3Mvc3V0cm8taW50cm9kdWNlcy1haS1wb3dlcmVkLWFwcC0xNzAwNTk5MDAuaHRtbA?oc=5,2023-11-08,Yahoo Finance,US,en,sutro introduces aipowered app creation with no coding required  yahoo finance,69,12,Wednesday,11,2023,4,False,False,News Outlet,https://finance.yahoo.com/news/sutro-introduces-ai-powered-app-170059900.html,finance.yahoo.com,finance,2,com,77,['Sarah Perez'],0.0,0.0,-0.0258,negative,0
A skittish AI finds its protest voice - OnlySky Media,https://news.google.com/rss/articles/CBMiQWh0dHBzOi8vb25seXNreS5tZWRpYS9kYWxlL2Etc2tpdHRpc2gtYWktZmluZHMtaXRzLXByb3Rlc3Qtdm9pY2Uv0gEA?oc=5,2023-11-08,OnlySky Media,US,en,a skittish ai finds its protest voice  onlysky media,44,10,Wednesday,11,2023,4,False,False,Other,https://onlysky.media/dale/a-skittish-ai-finds-its-protest-voice/,onlysky.media,onlysky,3,media,65,"['Dale Mcgowan', 'More Dale Mcgowan', 'You Are Going To Send Email To', 'Move Comment']",0.7,0.8,-0.25,negative,"Jeepers asked ChatGPT to rewrite the lyrics of The Star-Spangled Banner. He asked it to reflect a less charitable, more critical interpretation of American history. The result is an alternative version that seeks to acknowledge the complexities of U.S. history."
Microsoft’s AI Announcement Angers Devs and Voice Actors - ComingSoon.net,https://news.google.com/rss/articles/CBMiZWh0dHBzOi8vd3d3LmNvbWluZ3Nvb24ubmV0L2dhbWVzL25ld3MvMTM5NTM1My1taWNyb3NvZnRzLWFpLWFubm91bmNlbWVudC1hbmdlcnMtZGV2cy1hbmQtdm9pY2UtYWN0b3Jz0gFpaHR0cHM6Ly93d3cuY29taW5nc29vbi5uZXQvZ2FtZXMvbmV3cy8xMzk1MzUzLW1pY3Jvc29mdHMtYWktYW5ub3VuY2VtZW50LWFuZ2Vycy1kZXZzLWFuZC12b2ljZS1hY3RvcnM_YW1w?oc=5,2023-11-08,ComingSoon.net,US,en,microsofts ai announcement angers devs and voice actors  comingsoonnet,64,10,Wednesday,11,2023,4,False,False,Other,https://www.comingsoon.net/games/news/1395353-microsofts-ai-announcement-angers-devs-and-voice-actors,www.comingsoon.net,www,3,net,101,['Daniel Deangleo'],0.0,0.0,-0.5106,negative,"Microsoft announced its partnership with Inworld AI on November 6. The AI toolset consists of a “design copilot” and a � “character runtime engine” The former will automatically generate quests, scripts, dialogue trees, and more. The latter will reportedly be able to dynamically create new quests and dialogue on the fly."
"Rapid AI proliferation is a threat to democracy, experts say - Reuters",https://news.google.com/rss/articles/CBMicmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL3RlY2hub2xvZ3kvcmV1dGVycy1uZXh0LXJhcGlkLWFpLXByb2xpZmVyYXRpb24taXMtdGhyZWF0LWRlbW9jcmFjeS1leHBlcnRzLXNheS0yMDIzLTExLTA4L9IBAA?oc=5,2023-11-08,Reuters,US,en,rapid ai proliferation is a threat to democracy experts say  reuters,59,12,Wednesday,11,2023,4,False,False,News Outlet,https://www.reuters.com/technology/reuters-next-rapid-ai-proliferation-is-threat-democracy-experts-say-2023-11-08/,www.reuters.com,www,3,com,114,[],0.0,0.0,-0.5267,negative,0
Public AI Training Datasets Are Rife With Licensing Errors - IEEE Spectrum,https://news.google.com/rss/articles/CBMiIWh0dHBzOi8vc3BlY3RydW0uaWVlZS5vcmcvZGF0YS1hadIBMGh0dHBzOi8vc3BlY3RydW0uaWVlZS5vcmcvYW1wL2RhdGEtYWktMjY2NjE0MTQwMg?oc=5,2023-11-08,IEEE Spectrum,US,en,public ai training datasets are rife with licensing errors  ieee spectrum,63,12,Wednesday,11,2023,4,False,False,Academic Journal,https://spectrum.ieee.org/data-ai,spectrum.ieee.org,spectrum,1,org,33,['Edd Gent'],0.0,0.0666666666666666,-0.34,negative,"Data Provenance Initiative audited more than 1,800 widely used datasets for training natural language processing models. They found more than 70 percent had no data licenses, and for those that did, roughly half were incorrect. 29 percent of the incorrect licenses were more permissive than the dataset creators had intended."
How Will Amazon's AI Model 'Olympus' Compare to ChatGPT? - Tech.co,https://news.google.com/rss/articles/CBMiLmh0dHBzOi8vdGVjaC5jby9uZXdzL2FtYXpvbi1vbHltcHVzLXZzLWNoYXRncHTSAQA?oc=5,2023-11-08,Tech.co,US,en,how will amazons ai model olympus compare to chatgpt  techco,56,11,Wednesday,11,2023,4,False,False,Blog,https://tech.co/news/amazon-olympus-vs-chatgpt,tech.co,tech,2,co,46,"[""Isobel O'Sullivan"", 'Bsc', 'Is A Senior Writer At Tech.Co With Over Four Years Of Experience Covering Business', 'Technology News. Since Studying Digital Anthropology At University College London', 'Ucl', 'She S Been A Regular Contributor To Market Finance S Blog', 'Has Also Worked As A Freelance Tech Researcher. Isobel S Always Up To Date With The Topics In Employment', 'Data Security', 'Has A Specialist Focus On Pos', 'Voip Systems.']",0.0,0.0,-0.0258,negative,"Amazon is reportedly training a new large language model (LLM) codenamed 'Olympus' The model could be used to power new features in its online store, Alexa voice assistant on devices like Echo, and Amazon Web Services unit. The team developing Olympus is being spearheaded by Rohit Prasad – former head of Alexa – who now reports to company CEO Andy Jassy."
Teaching AI common sense an old problem ChatGPT foregrounds - ComputerWeekly.com,https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3LmNvbXB1dGVyd2Vla2x5LmNvbS9ibG9nL0RhdGEtTWF0dGVycy9UZWFjaGluZy1BSS1jb21tb24tc2Vuc2UtYW4tb2xkLXByb2JsZW0tQ2hhdEdQVC1mb3JlZ3JvdW5kc9IBAA?oc=5,2023-11-08,ComputerWeekly.com,US,en,teaching ai common sense an old problem chatgpt foregrounds  computerweeklycom,70,11,Wednesday,11,2023,4,False,False,Magazine,https://www.computerweekly.com/blog/Data-Matters/Teaching-AI-common-sense-an-old-problem-ChatGPT-foregrounds,www.computerweekly.com,www,3,com,108,['Business Applications Editor'],-0.0999999999999999,0.35,-0.4019,negative,"Large Language Models (LLMs) are sometimes poor at deducing inferences that seem obvious to people. Yejin Choi’s solution is to teach the computer some logic to help, giving it some rules. Her Symbolic Knowledge Distillation approach extracts common sense from ChatGPT."
"New Prime Benefits, AI Plans Don't Help Amazon (NASDAQ:AMZN ... - TipRanks",https://news.google.com/rss/articles/CBMiVWh0dHBzOi8vd3d3LnRpcHJhbmtzLmNvbS9uZXdzL25ldy1wcmltZS1iZW5lZml0cy1haS1wbGFucy1kb250LWhlbHAtYW1hem9uLW5hc2RhcWFtem7SAQA?oc=5,2023-11-08,TipRanks,US,en,new prime benefits ai plans dont help amazon nasdaqamzn   tipranks,63,12,Wednesday,11,2023,4,False,False,Press Release Service,https://www.tipranks.com/news/new-prime-benefits-ai-plans-dont-help-amazon-nasdaqamzn,www.tipranks.com,www,2,com,85,[],0.1363636363636363,0.4545454545454545,-0.0454,negative,0
