title,link,date,source,country,language,translated_title,number_of_characters_title,number_of_words_title,day_of_week,month,year,quarter,is_weekend,is_holiday,source_type,final_redirected_URL,domain_of_URL,subdomain_of_URL,URL_depth,top_level_domain,url_length,author,compound,vader_sentiment,summary
What is the risk of losing your job to AI in Wyoming? - County 10 News,https://news.google.com/rss/articles/CBMiSmh0dHBzOi8vY291bnR5MTAuY29tL3doYXQtaXMtdGhlLXJpc2stb2YtbG9zaW5nLXlvdXItam9iLXRvLWFpLWluLXd5b21pbmcv0gEA?oc=5,2023-11-10,County 10 News,US,en,what is the risk of losing your job to ai in wyoming  county  news,55,16,Friday,11,2023,4,False,True,News Outlet,https://county10.com/what-is-the-risk-of-losing-your-job-to-ai-in-wyoming/,county10.com,county10,2,com,74,['Jerrad Anderson'],-0.5719,negative,0
"AI could cause 'catastrophic' financial crisis, says Yuval Noah Harari - The Guardian",https://news.google.com/rss/articles/CBMidmh0dHBzOi8vd3d3LnRoZWd1YXJkaWFuLmNvbS90ZWNobm9sb2d5LzIwMjMvbm92LzA5L3l1dmFsLW5vYWgtaGFyYXJpLWFydGlmaWNpYWwtaW50ZWxsaWdlbmNlLWFpLWNhdXNlLWZpbmFuY2lhbC1jcmlzaXPSAQA?oc=5,2023-11-10,The Guardian,US,en,ai could cause catastrophic financial crisis says yuval noah harari  the guardian,73,13,Friday,11,2023,4,False,True,News Outlet,https://www.theguardian.com/technology/2023/nov/09/yuval-noah-harari-artificial-intelligence-ai-cause-financial-crisis,www.theguardian.com,www,5,com,118,['Dan Milmo'],-0.8074,negative,Historian and Sapiens author says sophistication of technology makes it difficult to forecast its dangers. Harari said last week’s multilateral declaration at the global AI safety summit in Bletchley Park was a ‘very important step forward’ The author pointed to finance as a sector ideally suited to artificial intelligence systems.
Diversity Is Critical for the Future of AI - Knowledge@Wharton,https://news.google.com/rss/articles/CBMiV2h0dHBzOi8va25vd2xlZGdlLndoYXJ0b24udXBlbm4uZWR1L2FydGljbGUvZGl2ZXJzaXR5LWlzLWNyaXRpY2FsLWZvci10aGUtZnV0dXJlLW9mLWFpL9IBAA?oc=5,2023-11-10,Knowledge@Wharton,US,en,diversity is critical for the future of ai  knowledgewharton,53,10,Friday,11,2023,4,False,True,Academic Journal,https://knowledge.wharton.upenn.edu/article/diversity-is-critical-for-the-future-of-ai/,knowledge.wharton.upenn.edu,knowledge,3,edu,87,[],-0.3182,negative,"Wharton’s Stephanie Creary speaks with two experts on what companies can do to make generative AI more inclusive for consumers. “People of color are greatly overlooked,” says Karim Ginena, a social scientist and founder of RAI Audit. Broderick Turner, a Virginia Tech marketing professor, says diversity should be considered at the earliest stage of product development."
"Before worrying about a killer bot, regulators must take on human abuse of AI | Mint - Mint",https://news.google.com/rss/articles/CBMijgFodHRwczovL3d3dy5saXZlbWludC5jb20vb3Bpbmlvbi9vbmxpbmUtdmlld3MvYmVmb3JlLXdvcnJ5aW5nLWFib3V0LWEta2lsbGVyLWJvdC1yZWd1bGF0b3JzLW11c3QtdGFrZS1vbi1odW1hbi1hYnVzZS1vZi1haS0xMTY5OTUzMjM2NTIzNS5odG1s0gGSAWh0dHBzOi8vd3d3LmxpdmVtaW50LmNvbS9vcGluaW9uL29ubGluZS12aWV3cy9iZWZvcmUtd29ycnlpbmctYWJvdXQtYS1raWxsZXItYm90LXJlZ3VsYXRvcnMtbXVzdC10YWtlLW9uLWh1bWFuLWFidXNlLW9mLWFpL2FtcC0xMTY5OTUzMjM2NTIzNS5odG1s?oc=5,2023-11-10,Mint,US,en,before worrying about a killer bot regulators must take on human abuse of ai  mint  mint,74,18,Friday,11,2023,4,False,True,News Outlet,https://www.livemint.com/opinion/online-views/before-worrying-about-a-killer-bot-regulators-must-take-on-human-abuse-of-ai-11699532365235.html,www.livemint.com,www,3,com,142,['Jaspreet Bindra'],-0.8979,negative,The race to develop AI has turned into a race to regulate it. Most of this concern and regulation seems to be directed towards what is loosely called Frontier AI. Critics say that focusing on this ‘science fiction’ shifts the policy narrative from pressing here-and-now issues.
How CSPs can combat fraud with AI and machine learning ... - VanillaPlus,https://news.google.com/rss/articles/CBMiZGh0dHBzOi8vd3d3LnZhbmlsbGFwbHVzLmNvbS8yMDIzLzExLzEwLzg1MTU2LWhvdy1jc3BzLWNhbi1jb21iYXQtZnJhdWQtd2l0aC1haS1hbmQtbWFjaGluZS1sZWFybmluZy_SAQA?oc=5,2023-11-10,VanillaPlus,US,en,how csps can combat fraud with ai and machine learning   vanillaplus,60,13,Friday,11,2023,4,False,True,Other,https://www.vanillaplus.com/2023/11/10/85156-how-csps-can-combat-fraud-with-ai-and-machine-learning/,www.vanillaplus.com,www,5,com,100,"['Magda Dabrowska', 'Posted On']",-0.7351,negative,Telecom fraud cases are diverse and often infiltrate multiple aspects of a corporate infrastructure. Over 40 million people in the UK were targeted by scammers in the first quarter of 2023. Fraud patterns can vary significantly as customer behaviours and traffic volumes shift. CSPs can use artificial intelligence (AI) and machine learning to help combat fraud.
"AI has many dangers and could be a threat for the entire human race, says historian Yuval Noah Harari - India Today",https://news.google.com/rss/articles/CBMipwFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL3RlY2hub2xvZ3kvbmV3cy9zdG9yeS9haS1oYXMtbWFueS1kYW5nZXJzLWFuZC1jb3VsZC1iZS1hLXRocmVhdC1mb3ItdGhlLWVudGlyZS1odW1hbi1yYWNlLXNheXMtaGlzdG9yaWFuLXl1dmFsLW5vYWgtaGFyYXJpLTI0NjEzMDktMjAyMy0xMS0xMNIBqwFodHRwczovL3d3dy5pbmRpYXRvZGF5LmluL2FtcC90ZWNobm9sb2d5L25ld3Mvc3RvcnkvYWktaGFzLW1hbnktZGFuZ2Vycy1hbmQtY291bGQtYmUtYS10aHJlYXQtZm9yLXRoZS1lbnRpcmUtaHVtYW4tcmFjZS1zYXlzLWhpc3Rvcmlhbi15dXZhbC1ub2FoLWhhcmFyaS0yNDYxMzA5LTIwMjMtMTEtMTA?oc=5,2023-11-10,India Today,US,en,ai has many dangers and could be a threat for the entire human race says historian yuval noah harari  india today,94,22,Friday,11,2023,4,False,True,News Outlet,https://www.indiatoday.in/technology/news/story/ai-has-many-dangers-and-could-be-a-threat-for-the-entire-human-race-says-historian-yuval-noah-harari-2461309-2023-11-10,www.indiatoday.in,www,4,in,167,[],-0.765,negative,"Yuval Noah Harari says that there could be a ""large number of dangerous scenarios"" with AI. Each of these scenarios could have a ""relatively small probability,"" he said. Taken together, these could lead to an ""existential threat to the survival of human civilisation,"" he added."
Big Tech is Missing the Point on AI Election Misinformation - TIME,https://news.google.com/rss/articles/CBMiOmh0dHBzOi8vdGltZS5jb20vNjMzMzI4OC90ZWNoLWNvbXBhbmllcy1haS1taXNpbmZvcm1hdGlvbi_SAQA?oc=5,2023-11-09,TIME,US,en,big tech is missing the point on ai election misinformation  time,55,12,Thursday,11,2023,4,False,False,Magazine,https://time.com/6333288/tech-companies-ai-misinformation/,time.com,time,3,com,58,[],-0.5423,negative," Meta announced Wednesday that it would require labels for political ads that have been digitally altered, using AI or other technology. Microsoft announced it was also taking a number of steps to protect elections, including offering tools to watermark AI-generated content. Experts welcome the measures taken by tech companies to defend election integrity."
AI-Powered Waste Management System to Revolutionize Recycling - NC State College of Natural Resources News,https://news.google.com/rss/articles/CBMiT2h0dHBzOi8vY25yLm5jc3UuZWR1L25ld3MvMjAyMy8xMS9hcnRpZmljaWFsLWludGVsbGlnZW5jZS1mb3Itd2FzdGUtbWFuYWdlbWVudC_SAQA?oc=5,2023-11-09,NC State College of Natural Resources News,US,en,aipowered waste management system to revolutionize recycling  nc state college of natural resources news,92,15,Thursday,11,2023,4,False,False,News Outlet,https://cnr.ncsu.edu/news/2023/11/ai-waste-management/,cnr.ncsu.edu,cnr,5,edu,54,['Andrew Moore'],-0.0772,negative,"NC State researcher Lokendra Pal has partnered with the National Renewable Energy Laboratory, IBM and the Town of Cary to solve that problem. The system is expected to streamline the collection of non-recyclable waste for conversion into renewable products, energy and fuel. Pal and his collaborators are exploring the use of various processes and technologies to produce fuels such as bioethanol and aviation fuel."
Researchers Warn We Could Run Out Of Data To Train AI By 2026. What Then? - NDTV,https://news.google.com/rss/articles/CBMibGh0dHBzOi8vd3d3Lm5kdHYuY29tL3NjaWVuY2UvcmVzZWFyY2hlcnMtd2Fybi13ZS1jb3VsZC1ydW4tb3V0LW9mLWRhdGEtdG8tdHJhaW4tYWktYnktMjAyNi13aGF0LXRoZW4tNDU1OTU4MdIBcmh0dHBzOi8vd3d3Lm5kdHYuY29tL3NjaWVuY2UvcmVzZWFyY2hlcnMtd2Fybi13ZS1jb3VsZC1ydW4tb3V0LW9mLWRhdGEtdG8tdHJhaW4tYWktYnktMjAyNi13aGF0LXRoZW4tNDU1OTU4MS9hbXAvMQ?oc=5,2023-11-09,NDTV,US,en,researchers warn we could run out of data to train ai by  what then  ndtv,64,17,Thursday,11,2023,4,False,False,Broadcast Media,https://www.ndtv.com/science/researchers-warn-we-could-run-out-of-data-to-train-ai-by-2026-what-then-4559581,www.ndtv.com,www,2,com,108,[],-0.1027,negative,"Researchers have warned the industry might be running out of training data. We need a lot of data to train powerful, accurate and high-quality AI algorithms. Low-quality data such as social media posts or blurry photographs are easy to source, but aren't sufficient to train high-performing AI models."
"News Corp beats Street estimates, touts generative AI efforts - Reuters",https://news.google.com/rss/articles/CBMiZmh0dHBzOi8vd3d3LnJldXRlcnMuY29tL2J1c2luZXNzL21lZGlhLXRlbGVjb20vbmV3cy1jb3JwLWJlYXRzLXF1YXJ0ZXJseS1yZXZlbnVlLWVzdGltYXRlcy0yMDIzLTExLTA5L9IBAA?oc=5,2023-11-09,Reuters,US,en,news corp beats street estimates touts generative ai efforts  reuters,61,11,Thursday,11,2023,4,False,False,News Outlet,https://www.reuters.com/business/media-telecom/news-corp-beats-quarterly-revenue-estimates-2023-11-09/,www.reuters.com,www,4,com,102,"['Chavi Mehta', 'Thomson Reuters', 'Chavi Reports On U.S. Technology Companies', 'Including Semiconductor Firms. Her Work Usually Appears On The Technology', 'Business Sections.']",-0.0258,negative,0
